schema_name,table_name,table_abbreviation
orac_core,plugin_invocations,plg_inv
orac_core,plugin_audit_events,plg_audevt
orac_core,plugin_db_deployments,plg_dbdep
orac_core,plugin_apex_apps,plg_apxapp
orac_core,preference_definitions,prfdfn
orac_core,timezones,tmzone
orac_core,conversations,convs
orac_core,devices,device
orac_core,llm_registry,llm_reg
orac_core,tts_voices,tts_voice
orac_core,message_embeddings,mesg_emb
orac_core,messages,mesgs
orac_core,orac_search_queries,orac_srch_q
orac_core,orac_search_results,orac_srch_res
orac_core,orac_fetched_sources,orac_fch_src
orac_core,model_generation_presets,model_generation_presets
orac_core,orac_personalities,orpers
orac_core,user_preferences,user_pref
orac_core,user_prompt_elements,user_pe
orac_core,user_synonyms,user_syns
orac_core,users,users
orac_dropbox,drop_location,drp_loc
orac_dropbox,drop_job,drp_job
orac_dropbox,drop_job_event,drp_jobe
orac_core,plugin_registry,plgreg
